store,offset,size,label,source
IntelSetup,0x928,1,Corr Err Over,Platform
IntelSetup,0x954,1,ACPI PME Interrupt,Platform
IntelSetup,0x980,1,L0s Support,Platform
IntelSetup,0x9D8,1,P2P Memory Write,Platform
IntelSetup,0xA04,1,P2P Memory Read,Platform
IntelSetup,0xA72,1,PME to ACK,Platform
IntelSetup,0xAB4,1,HotPlug ACPI Mode,Platform
IntelSetup,0xAE0,1,PM ACPI Mode,Platform
IntelSetup,0xE20,1,Gen3 Eq Mode,Platform
IntelSetup,0xE4C,1,Gen3 Spec Mode,Platform
IntelSetup,0xEA4,1,Gen3 Phase2 Mode,Platform
IntelSetup,0xEFC,1,Ph2 TxEq Precursor,Platform
IntelSetup,0xF28,1,Ph2 TxEq Cursor,Platform
IntelSetup,0xF54,1,Ph2 TxEq Postcursor,Platform
IntelSetup,0xED0,1,Gen3 Phase3 Mode,Platform
IntelSetup,0xF80,1,Ph3 TxEq Precursor,Platform
IntelSetup,0xFAC,1,Ph3 TxEq Cursor,Platform
IntelSetup,0xFD8,1,Ph3 TxEq Postcursor,Platform
IntelSetup,0xE78,1,Gen3 Linkup Flow,Platform
IntelSetup,0x1004,1,Gen3 Retrain Type,Platform
IntelSetup,0x1030,1,Gen3 DN Tx Preset,Platform
IntelSetup,0x105C,1,Gen3 DN Rx Preset Hint,Platform
IntelSetup,0x1088,1,Gen3 UP Tx Preset,Platform
IntelSetup,0xBC7,1,Hide Port?,Platform
IntelSetup,0x1713,1,Pcie Ecrc,Platform
IntelSetup,0x745,1,PCI-E Port,Platform
IntelSetup,0x40F,1,Hot Plug Capable,Platform
IntelSetup,0xC61,1,Extra Bus Reserved,Platform
IntelSetup,0xCA1,2,Reserved Memory,Platform
IntelSetup,0xD69,1,Reseved Memory Alignment,Platform
IntelSetup,0xCF9,2,Prefetchable Memory,Platform
IntelSetup,0xD95,1,Prefetchable Memory Alignment,Platform
IntelSetup,0xD3D,1,Reserved I/O,Platform
IntelSetup,0x561,1,PCI-E Port Link,Platform
IntelSetup,0x821,1,Link Speed,Platform
IntelSetup,0x1740,1,Override Max Link Width,Platform
IntelSetup,0x879,1,PCI-E Port DeEmphasis,Platform
IntelSetup,0x5B9,1,PCI-E Port Clocking,Platform
IntelSetup,0x5E5,1,PCI-E Slot Clock Source,Platform
IntelSetup,0x611,1,PCI-E Port Max Payload Size,Platform
IntelSetup,0x63D,1,PCI-E Port D-state,Platform
IntelSetup,0x58D,1,PCI-E ASPM Support,Platform
IntelSetup,0x669,1,PCI-E Port L0s Exit Latency,Platform
IntelSetup,0x695,1,PCI-E Port L1 Exit Latency,Platform
IntelSetup,0x6C1,1,MSI,Platform
IntelSetup,0x6ED,1,PCI-E Extended Sync,Platform
IntelSetup,0x84D,1,Compliance Mode,Platform
IntelSetup,0x8A5,1,EOI,Platform
IntelSetup,0x8D1,1,Fatal Err Over,Platform
IntelSetup,0x8FD,1,Non-Fatal Err Over,Platform
IntelSetup,0x929,1,Corr Err Over,Platform
IntelSetup,0x955,1,ACPI PME Interrupt,Platform
IntelSetup,0x981,1,L0s Support,Platform
IntelSetup,0x9D9,1,P2P Memory Write,Platform
IntelSetup,0xA05,1,P2P Memory Read,Platform
IntelSetup,0xA73,1,PME to ACK,Platform
IntelSetup,0xAB5,1,HotPlug ACPI Mode,Platform
IntelSetup,0xAE1,1,PM ACPI Mode,Platform
IntelSetup,0xE21,1,Gen3 Eq Mode,Platform
IntelSetup,0xE4D,1,Gen3 Spec Mode,Platform
IntelSetup,0xEA5,1,Gen3 Phase2 Mode,Platform
IntelSetup,0xEFD,1,Ph2 TxEq Precursor,Platform
IntelSetup,0xF29,1,Ph2 TxEq Cursor,Platform
IntelSetup,0xF55,1,Ph2 TxEq Postcursor,Platform
